,mobility_label,found,recall@10,recall@20,mrr,ndcg@10,ndcg@20,model
0,explorer,0.05063291139240506,0.02109704641350211,0.02531645569620253,0.007387496872113486,0.009748020939028455,0.010828012604892657,global_popularity
1,one_area,0.0234375,0.0,0.015625,0.0011960982491772932,0.0,0.003801874329447662,global_popularity
2,sparse,0.039316239316239315,0.005128205128205128,0.015384615384615385,0.004806921380534865,0.003958059618437143,0.006476612982991424,global_popularity
3,two_area,0.012345679012345678,0.0,0.012345679012345678,0.001122334455667789,0.0,0.0034437400697670353,global_popularity
